USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  43952 17316 ?        Ss   Apr05   0:05 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root        1316  0.0  0.0 553660 14652 ?        Ssl  Apr05   0:00 /usr/sbin/abrtd -d -s
root        1405  0.0  0.0 391400 13752 ?        Ssl  Apr05   0:00 /usr/bin/ModemManager
root        1412  0.0  0.1 373392 32112 ?        Ssl  Apr05   0:00 /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
root        1437  0.0  0.3 1123800 58040 ?       Ss   Apr05   0:00 /usr/bin/abrt-dump-journal-core -D -T -f -e
root        1438  0.0  0.2 1120928 32828 ?       Ss   Apr05   0:00 /usr/bin/abrt-dump-journal-oops -fxtD
root        1439  0.0  0.2 1120364 44836 ?       Ss   Apr05   0:01 /usr/bin/abrt-dump-journal-xorg -fxtD
root        1494  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-rpciod]
root        1495  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-xprtiod]
root        1515  0.0  0.1 560480 23868 ?        Ssl  Apr05   0:08 /usr/bin/NetworkManager --no-daemon
root        1538  0.0  0.0  16792 11284 ?        Ss   Apr05   0:01 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        1558  0.0  0.0 253444 12588 ?        Ss   Apr05   0:00 /usr/bin/cupsd -l
root        1559  0.0  0.0 282400  8356 ?        Ssl  Apr05   0:00 /usr/bin/gssproxy -i
root        1561  0.0  0.0   2900  1708 ?        Ss   Apr05   0:00 /bin/sh /snap/cups/1170/scripts/run-cups-browsed
root        1562  0.0  0.0   2900  1852 ?        Ss   Apr05   0:00 /bin/sh /snap/cups/1170/scripts/run-cupsd
root        1564  0.0  0.0   8940  6540 ?        Ss   Apr05   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root        1566  0.0  0.1 499820 32048 ?        Ssl  Apr05   0:05 /usr/bin/python3 -Es /usr/sbin/tuned -l -P
root        1593  0.0  0.0 2382736 14600 ?       Ssl  Apr05   0:26 /usr/bin/containerd
colord      1611  0.0  0.0 538716 13156 ?        Ssl  Apr05   0:00 /usr/libexec/colord
mysql       1691  0.2  0.1 2214140 25948 ?       Ssl  Apr05   2:29 /usr/libexec/mysqld --basedir=/usr
lp          1692  0.0  0.0  21740  8732 ?        S    Apr05   0:00 /usr/lib/cups/notifier/dbus dbus://
lp          1693  0.0  0.0  21740  8720 ?        S    Apr05   0:00 /usr/lib/cups/notifier/dbus dbus://
